,method,device1,device2,device3,device4,curvature,$W$,$H$,$L$,$A{_3}$,$A{_1}$,$W$$/$$H$,$A{_2}$$/$$A{_1}$,${\rho}_\mathrm{d}$,${\rho}_\mathrm{c}$,$\mu_\mathrm{d}$,$\mu_\mathrm{c}$,$\gamma$,$\mu_\mathrm{d}$$/$$\mu_\mathrm{c}$,$Q_\mathrm{d}$,$Q_\mathrm{c}$,$u_\mathrm{d}$,$u_\mathrm{c}$,$Q_\mathrm{d}$$/$$Q_\mathrm{c}$,$u_\mathrm{d}$$/$$u_\mathrm{c}$,$\mu_\mathrm{c}$$u_\mathrm{c}$,$d_\mathrm{av}$$/$$d_\mathrm{e}$
0,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,25.0,200.0,0.0207233,0.017816506,0.125,1.163151743,0.083024918,0.7843297203277008
1,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,25.0,400.0,0.0207233,0.035633012,0.0625,0.581575871,0.166049836,0.6259204565967469
2,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,25.0,600.0,0.0207233,0.053449517,0.041666667,0.387717255,0.249074749,0.5566797482862583
3,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,25.0,800.0,0.0207233,0.071266023,0.03125,0.29078794,0.332099667,0.5177196177657155
4,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,25.0,1000.0,0.0207233,0.089082529,0.025,0.232630351,0.415124585,0.47619592986871234
5,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,25.0,1200.0,0.0207233,0.106899035,0.020833333,0.193858626,0.498149503,0.4381896812751334
6,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,25.0,1600.0,0.0207233,0.142532047,0.015625,0.145393969,0.664199339,0.4024190945057671
7,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,50.0,200.0,0.0414466,0.017816506,0.25,2.326303485,0.083024918,0.8982590374108748
8,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,50.0,400.0,0.0414466,0.035633012,0.125,1.163151743,0.166049836,0.6908194456488349
9,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,50.0,600.0,0.0414466,0.053449517,0.083333333,0.77543451,0.249074749,0.6184734355943727
10,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,50.0,800.0,0.0414466,0.071266023,0.0625,0.581575879,0.332099667,0.5696465854158697
11,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,50.0,1000.0,0.0414466,0.089082529,0.05,0.465260702,0.415124585,0.5149473982643498
12,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,50.0,1200.0,0.0414466,0.106899035,0.041666667,0.387717251,0.498149503,0.4927895064311888
13,1.0,0.0,0.0,1.0,0.0,0.0,0.584949,0.319844,0.584949,0.020106193,0.187092428,1.828857193,1.0,978.9,819.3,0.87,4.66,5.59,0.186695279,50.0,1600.0,0.0414466,0.142532047,0.03125,0.290787938,0.664199339,0.4637764904782045
